date,transaction_reference,age,account,old_balance,new_balance,amount,type,message
2059-12-31,1000002358,85,ra,30625.06,29695.06,-930.0,outflow,ra-CPF payout at age 85--930.00
2059-12-31,1000002359,85,excess,383561.29,384491.29,930.0,inflow,excess-CPF payout at age 85-930.00
2060-01-31,1000002361,85,oa,80905.38,81124.42,219.04,inflow,oa-Allocation for oa at age 85-219.04
2060-01-31,1000002362,85,ma,964983.87,967283.79,2299.92,inflow,ma-Allocation for ma at age 85-2299.92
2060-01-31,1000002363,85,ra,29695.06,29914.1,219.04,inflow,ra-Allocation for ra at age 85-219.04
2060-01-31,1000002364,85,ra,29914.1,28984.1,-930.0,outflow,ra-CPF payout at age 85--930.00
2060-01-31,1000002365,85,excess,384491.29,385421.29,930.0,inflow,excess-CPF payout at age 85-930.00
2060-02-29,1000002367,85,oa,81124.42,81343.46,219.04,inflow,oa-Allocation for oa at age 85-219.04
2060-02-29,1000002368,85,ma,967283.79,969583.71,2299.92,inflow,ma-Allocation for ma at age 85-2299.92
2060-02-29,1000002369,85,ra,28984.1,29203.14,219.04,inflow,ra-Allocation for ra at age 85-219.04
2060-02-29,1000002370,85,ra,29203.14,28273.14,-930.0,outflow,ra-CPF payout at age 85--930.00
2060-02-29,1000002371,85,excess,385421.29,386351.29,930.0,inflow,excess-CPF payout at age 85-930.00
2060-03-31,1000002373,85,oa,81343.46,81562.5,219.04,inflow,oa-Allocation for oa at age 85-219.04
2060-03-31,1000002374,85,ma,969583.71,971883.63,2299.92,inflow,ma-Allocation for ma at age 85-2299.92
2060-03-31,1000002375,85,ra,28273.14,28492.18,219.04,inflow,ra-Allocation for ra at age 85-219.04
2060-03-31,1000002376,85,ra,28492.18,27562.18,-930.0,outflow,ra-CPF payout at age 85--930.00
2060-03-31,1000002377,85,excess,386351.29,387281.29,930.0,inflow,excess-CPF payout at age 85-930.00
2060-04-30,1000002379,85,oa,81562.5,81781.54,219.04,inflow,oa-Allocation for oa at age 85-219.04
2060-04-30,1000002380,85,ma,971883.63,974183.55,2299.92,inflow,ma-Allocation for ma at age 85-2299.92
2060-04-30,1000002381,85,ra,27562.18,27781.22,219.04,inflow,ra-Allocation for ra at age 85-219.04
2060-04-30,1000002382,85,ra,27781.22,26851.22,-930.0,outflow,ra-CPF payout at age 85--930.00
2060-04-30,1000002383,85,excess,387281.29,388211.29,930.0,inflow,excess-CPF payout at age 85-930.00
2060-05-31,1000002385,85,oa,81781.54,82000.58,219.04,inflow,oa-Allocation for oa at age 85-219.04
2060-05-31,1000002386,85,ma,974183.55,976483.47,2299.92,inflow,ma-Allocation for ma at age 85-2299.92
2060-05-31,1000002387,85,ra,26851.22,27070.26,219.04,inflow,ra-Allocation for ra at age 85-219.04
2060-05-31,1000002388,85,ra,27070.26,26140.26,-930.0,outflow,ra-CPF payout at age 85--930.00
2060-05-31,1000002389,85,excess,388211.29,389141.29,930.0,inflow,excess-CPF payout at age 85-930.00
